variant,split_id,train_size,test_size,train_class_distribution,test_class_distribution,accuracy,balanced_accuracy,macro_f1,review_f1,confusion_matrix_labels,confusion_matrix_values,test_row_indexes,y_true,y_pred
all_features,1,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[12, 14, 9, 10, 2, 18, 20]","[""review"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain""]","[""review"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain""]"
all_features,2,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[9, 3, 20, 2, 17, 24, 11]","[""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""review"", ""maintain""]","[""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""review"", ""maintain""]"
all_features,3,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[10, 1, 14, 24, 17, 4, 27]","[""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""review""]","[""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""review""]"
all_features,4,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[20, 9, 18, 14, 12, 27, 25]","[""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""review"", ""maintain""]","[""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""review"", ""maintain""]"
all_features,5,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[1, 6, 12, 3, 4, 22, 15]","[""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""maintain"", ""review""]","[""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""maintain"", ""review""]"
all_features,6,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[3, 11, 10, 9, 27, 2, 1]","[""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""review"", ""maintain""]","[""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""review"", ""maintain""]"
all_features,7,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[12, 3, 8, 23, 19, 4, 7]","[""review"", ""maintain"", ""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review""]","[""review"", ""maintain"", ""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review""]"
all_features,8,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[1, 4, 27, 13, 20, 23, 0]","[""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""maintain"", ""review""]","[""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""maintain"", ""review""]"
all_features,9,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[23, 20, 13, 8, 24, 22, 7]","[""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""review""]","[""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""review""]"
all_features,10,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[19, 17, 15, 25, 21, 16, 6]","[""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""review"", ""maintain""]","[""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""review"", ""maintain""]"
without_assertions,1,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[12, 14, 9, 10, 2, 18, 20]","[""review"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain""]","[""review"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain""]"
without_assertions,2,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[9, 3, 20, 2, 17, 24, 11]","[""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""review"", ""maintain""]","[""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""review"", ""maintain""]"
without_assertions,3,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[10, 1, 14, 24, 17, 4, 27]","[""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""review""]","[""maintain"", ""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""review""]"
without_assertions,4,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[20, 9, 18, 14, 12, 27, 25]","[""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""review"", ""maintain""]","[""maintain"", ""maintain"", ""maintain"", ""maintain"", ""review"", ""review"", ""maintain""]"
without_assertions,5,21,7,"{""maintain"": 15, ""review"": 6}","{""maintain"": 5, ""review"": 2}",1.0,1.0,1.0,1.0,"[""maintain"", ""review""]","[[5, 0], [0, 2]]","[1, 6, 12, 3, 4, 22, 15]","[""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""maintain"", ""review""]","[""maintain"", ""maintain"", ""review"", ""maintain"", ""maintain"", ""maintain"", ""review""]"
